productid;productname;subcategory;category
OFF-AP-10003099;Holmes Harmony HEPA Air Purifier for 17 x 20 Room;Appliances                                        ;Office Supplies
OFF-AP-10003217;Fellowes Advanced Computer Series Surge Protectors;Appliances                                        ;Office Supplies
OFF-AP-10003266;Fellowes Command Center 5-outlet power strip;Appliances                                        ;Office Supplies
OFF-AP-10003278;Belkin F5C206VTEL 6 Outlet Surge;Appliances                                        ;Office Supplies
OFF-AP-10003281;Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum;Appliances                                        ;Office Supplies
OFF-AP-10003287;Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room;Appliances                                        ;Office Supplies
OFF-AP-10003590;Holmes 99% HEPA Air Purifier;Appliances                                        ;Office Supplies
OFF-AP-10003622;Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection;Appliances                                        ;Office Supplies
OFF-AP-10003779;Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room;Appliances                                        ;Office Supplies
OFF-AP-10003842;Eureka Hand Vacuum, Bagless;Appliances                                        ;Office Supplies
OFF-AP-10003849;Eureka Sanitaire  Commercial Upright;Appliances                                        ;Office Supplies
OFF-AP-10003860;Holmes Replacement Filter for HEPA Air Cleaner, Large Room;Appliances                                        ;Office Supplies
OFF-AP-10003884;Belkin 7-Outlet SurgeMaster Home Series;Appliances                                        ;Office Supplies
OFF-AP-10003914;Acco 6 Outlet Guardian Standard Surge Suppressor;Appliances                                        ;Office Supplies
OFF-AP-10003971;Tripp Lite TLP810NET Broadband Surge for Modem/Fax;Appliances                                        ;Office Supplies
OFF-AP-10004036;Hoover WindTunnel Plus Canister Vacuum;Appliances                                        ;Office Supplies
OFF-AP-10004052;Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack;Appliances                                        ;Office Supplies
OFF-AP-10004136;Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection;Appliances                                        ;Office Supplies
OFF-AP-10004233;Euro-Pro Shark Turbo Vacuum;Appliances                                        ;Office Supplies
OFF-AP-10004249;Hoover Shoulder Vac Commercial Portable Vacuum;Appliances                                        ;Office Supplies
OFF-AP-10004336;Fellowes Advanced 8 Outlet Surge Suppressor with Phone/Fax Protection;Appliances                                        ;Office Supplies
OFF-AP-10004487;Fellowes Smart Surge Ten-Outlet Protector, Platinum;Appliances                                        ;Office Supplies
OFF-AP-10004532;Sanitaire Vibra Groomer IR Commercial Upright Vacuum, Replacement Belts;Appliances                                        ;Office Supplies
OFF-AP-10004540;Belkin 6 Outlet Metallic Surge Strip;Appliances                                        ;Office Supplies
OFF-AP-10004655;Bionaire 99.97% HEPA Air Cleaner;Appliances                                        ;Office Supplies
OFF-AP-10004708;Hoover Replacement Belts For Soft Guard & Commercial Ltweight Upright Vacs, 2/Pk;Appliances                                        ;Office Supplies
OFF-AP-10004785;Kensington 6 Outlet SmartSocket Surge Protector;Appliances                                        ;Office Supplies
OFF-AP-10004859;Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room;Appliances                                        ;Office Supplies
OFF-AP-10004868;Staple holder;Appliances                                        ;Office Supplies
OFF-AP-10004980;Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit;Appliances                                        ;Office Supplies
OFF-AR-10000034;Kensington 4 Outlet MasterPiece Compact Power Control Center;Appliances                                        ;Office Supplies
OFF-AR-10000122;Kensington 6 Outlet Guardian Standard Surge Protector;Appliances                                        ;Office Supplies
OFF-AR-10000127;Eureka The Boss Lite 10-Amp Upright Vacuum, Blue;Appliances                                        ;Office Supplies
OFF-AR-10000203;Holmes Visible Mist Ultrasonic Humidifier with 2.3-Gallon Output per Day, Replacement Filter;Appliances                                        ;Office Supplies
OFF-AR-10000246;Fellowes Superior 10 Outlet Split Surge Protector;Appliances                                        ;Office Supplies
OFF-AR-10000255;Holmes Replacement Filter for HEPA Air Cleaner, Medium Room;Appliances                                        ;Office Supplies
OFF-AR-10000315;Acco 6 Outlet Guardian Premium Surge Suppressor;Appliances                                        ;Office Supplies
OFF-AR-10000369;Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags;Appliances                                        ;Office Supplies
OFF-AR-10000380;3M Replacement Filter for Office Air Cleaner for 20' x 33' Room;Appliances                                        ;Office Supplies
OFF-AR-10000390;BIC Brite Liner Grip Highlighters, Assorted, 5/Pack;Art                                               ;Office Supplies
OFF-AR-10000411;Newell 314;Art                                               ;Office Supplies
OFF-AR-10000422;Newell 321;Art                                               ;Office Supplies
OFF-AR-10000462;Newell 336;Art                                               ;Office Supplies
OFF-AR-10000475;Newell 318;Art                                               ;Office Supplies
OFF-AR-10000538;Newell 328;Art                                               ;Office Supplies
OFF-AR-10000588;Dixon Ticonderoga Maple Cedar Pencil, #2;Art                                               ;Office Supplies
OFF-AR-10000614;Design Ebony Sketching Pencil;Art                                               ;Office Supplies
OFF-AR-10000634;Hunt PowerHouse Electric Pencil Sharpener, Blue;Art                                               ;Office Supplies
OFF-AR-10000657;Newell Chalk Holder;Art                                               ;Office Supplies
OFF-AR-10000658;Boston 16701 Slimline Battery Pencil Sharpener;Art                                               ;Office Supplies
OFF-AR-10000716;Pencil and Crayon Sharpener;Art                                               ;Office Supplies
OFF-AR-10000799;Sanford Pocket Accent Highlighters;Art                                               ;Office Supplies
OFF-AR-10000817;Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black;Art                                               ;Office Supplies
OFF-AR-10000823;Boston Model 1800 Electric Pencil Sharpener, Gray;Art                                               ;Office Supplies
OFF-AR-10000896;Newell 345;Art                                               ;Office Supplies
OFF-AR-10000914;Barrel Sharpener;Art                                               ;Office Supplies
OFF-AR-10000937;Newell 320;Art                                               ;Office Supplies
OFF-AR-10000940;Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box;Art                                               ;Office Supplies
OFF-AR-10001022;Newell 324;Art                                               ;Office Supplies
OFF-AR-10001026;DIXON Ticonderoga Erasable Checking Pencils;Art                                               ;Office Supplies
OFF-AR-10001044;Col-Erase Pencils with Erasers;Art                                               ;Office Supplies
OFF-AR-10001118;Manco Dry-Lighter Erasable Highlighter;Art                                               ;Office Supplies
OFF-AR-10001130;Newell 307;Art                                               ;Office Supplies
OFF-AR-10001149;Newell 329;Art                                               ;Office Supplies
OFF-AR-10001166;Boston 16765 Mini Stand Up Battery Pencil Sharpener;Art                                               ;Office Supplies
OFF-AR-10001177;Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set;Art                                               ;Office Supplies
OFF-AR-10001216;Newell 343;Art                                               ;Office Supplies
OFF-AR-10001221;SANFORD Liquid Accent Tank-Style Highlighters;Art                                               ;Office Supplies
OFF-AR-10001227;Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow;Art                                               ;Office Supplies
OFF-AR-10001231;BOSTON Ranger #55 Pencil Sharpener, Black;Art                                               ;Office Supplies
OFF-AR-10001246;Binney & Smith Crayola Metallic Crayons, 16-Color Pack;Art                                               ;Office Supplies
OFF-AR-10001315;Quartet Alpha White Chalk, 12/Pack;Art                                               ;Office Supplies
OFF-AR-10001374;Sanford Colorific Colored Pencils, 12/Box;Art                                               ;Office Supplies
OFF-AR-10001419;Sanford Colorific Colored Pencils, 12/Box;Art                                               ;Office Supplies
OFF-AR-10001427;Staples in misc. colors;Art                                               ;Office Supplies
OFF-AR-10001446;Newell 349;Art                                               ;Office Supplies
OFF-AR-10001468;Newell 339;Art                                               ;Office Supplies
OFF-AR-10001473;Dixon Ticonderoga Erasable Colored Pencil Set, 12-Color;Art                                               ;Office Supplies
OFF-AR-10001545;Newell 338;Art                                               ;Office Supplies
OFF-AR-10001547;Sanford EarthWrite Recycled Pencils, Medium Soft, #2;Art                                               ;Office Supplies
OFF-AR-10001573;Newell 317;Art                                               ;Office Supplies
OFF-AR-10001615;Newell 310;Art                                               ;Office Supplies
OFF-AR-10001662;BIC Brite Liner Highlighters, Chisel Tip;Art                                               ;Office Supplies
OFF-AR-10001683;Newell 325;Art                                               ;Office Supplies
OFF-AR-10001725;Newell 330;Art                                               ;Office Supplies
OFF-AR-10001761;Newell 309;Art                                               ;Office Supplies
OFF-AR-10001770;Sanford Prismacolor Professional Thick Lead Art Pencils, 36-Color Set;Art                                               ;Office Supplies
OFF-AR-10001860;Newell 313;Art                                               ;Office Supplies
OFF-AR-10001868;Newell 326;Art                                               ;Office Supplies
OFF-AR-10001897;Newell 311;Art                                               ;Office Supplies
OFF-AR-10001915;American Pencil;Art                                               ;Office Supplies
OFF-AR-10001919;Newell 34;Art                                               ;Office Supplies
OFF-AR-10001940;Rogers Handheld Barrel Pencil Sharpener;Art                                               ;Office Supplies
OFF-AR-10001953;Lumber Crayons;Art                                               ;Office Supplies
OFF-AR-10001954;Boston Home & Office Model 2000 Electric Pencil Sharpeners;Art                                               ;Office Supplies
OFF-AR-10001955;Avery Hi-Liter Smear-Safe Highlighters;Art                                               ;Office Supplies
OFF-AR-10001958;Economy #2 Pencils;Art                                               ;Office Supplies
OFF-AR-10001972;BIC Liqua Brite Liner;Art                                               ;Office Supplies
OFF-AR-10001988;Prang Dustless Chalk Sticks;Art                                               ;Office Supplies
OFF-AR-10002053;Model L Table or Wall-Mount Pencil Sharpener;Art                                               ;Office Supplies
OFF-AR-10002067;Peel-Off China Markers;Art                                               ;Office Supplies
OFF-AR-10002135;OIC #2 Pencils, Medium Soft;Art                                               ;Office Supplies
OFF-AR-10002221;Sanford Colorific Eraseable Coloring Pencils, 12 Count;Art                                               ;Office Supplies
OFF-AR-10002240;Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener;Art                                               ;Office Supplies
OFF-AR-10002255;Newell 331;Art                                               ;Office Supplies
OFF-AR-10002257;Newell 319;Art                                               ;Office Supplies
OFF-AR-10002280;Stanley Bostitch Contemporary Electric Pencil Sharpeners;Art                                               ;Office Supplies
OFF-AR-10002335;Newell 323;Art                                               ;Office Supplies
OFF-AR-10002375;Bulldog Table or Wall-Mount Pencil Sharpener;Art                                               ;Office Supplies
OFF-AR-10002399;Premium Writing Pencils, Soft, #2 by Central Association for the Blind;Art                                               ;Office Supplies
OFF-AR-10002445;Newell 334;Art                                               ;Office Supplies
OFF-AR-10002467;Boston Heavy-Duty Trimline Electric Pencil Sharpeners;Art                                               ;Office Supplies
OFF-AR-10002578;12 Colored Short Pencils;Art                                               ;Office Supplies
OFF-AR-10002656;Panasonic KP-150 Electric Pencil Sharpener;Art                                               ;Office Supplies
OFF-AR-10002671;Newell 346;Art                                               ;Office Supplies
OFF-AR-10002704;Eldon Spacemaker Box, Quick-Snap Lid, Clear;Art                                               ;Office Supplies
OFF-AR-10002766;Staples in misc. colors;Art                                               ;Office Supplies
OFF-AR-10002804;DIXON Oriole Pencils;Art                                               ;Office Supplies
OFF-AR-10002818;Newell 351;Art                                               ;Office Supplies
OFF-AR-10002833;Dixon Prang Watercolor Pencils, 10-Color Set with Brush;Art                                               ;Office Supplies
OFF-AR-10002952;SANFORD Major Accent Highlighters;Art                                               ;Office Supplies
OFF-AR-10002956;Dixon Ticonderoga Pencils;Art                                               ;Office Supplies
OFF-AR-10002987;Newell 335;Art                                               ;Office Supplies
OFF-AR-10003045;Sanford Liquid Accent Highlighters;Art                                               ;Office Supplies
OFF-AR-10003056;Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige;Art                                               ;Office Supplies
OFF-AR-10003087;Boston 1900 Electric Pencil Sharpener;Art                                               ;Office Supplies
OFF-AR-10003156;Prang Drawing Pencil Set;Art                                               ;Office Supplies
OFF-AR-10003158;Faber Castell Col-Erase Pencils;Art                                               ;Office Supplies
OFF-AR-10003179;Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener;Art                                               ;Office Supplies
OFF-AR-10003183;Newell 322;Art                                               ;Office Supplies
OFF-AR-10003190;Stanley Contemporary Battery Pencil Sharpeners;Art                                               ;Office Supplies
OFF-AR-10003217;Boston 16801 Nautilus Battery Pencil Sharpener;Art                                               ;Office Supplies
OFF-AR-10003251;Prismacolor Color Pencil Set;Art                                               ;Office Supplies
OFF-AR-10003338;Prang Colored Pencils;Art                                               ;Office Supplies
OFF-AR-10003373;Newell 341;Art                                               ;Office Supplies
OFF-AR-10003394;Staples in misc. colors;Art                                               ;Office Supplies
OFF-AR-10003405;50 Colored Long Pencils;Art                                               ;Office Supplies
OFF-AR-10003469;Fluorescent Highlighters by Dixon;Art                                               ;Office Supplies
OFF-AR-10003477;Dixon Ticonderoga Core-Lock Colored Pencils;Art                                               ;Office Supplies
OFF-AR-10003478;Avery Fluorescent Highlighter Four-Color Set;Art                                               ;Office Supplies
OFF-AR-10003481;Newell 32;Art                                               ;Office Supplies
OFF-AR-10003504;Newell 316;Art                                               ;Office Supplies
OFF-AR-10003514;Prang Drawing Pencil Set;Art                                               ;Office Supplies
OFF-AR-10003560;"""Eberhard Faber 3 1/2"""" Golf Pencils""";Art                                               ;Office Supplies
OFF-AR-10003582;Boston School Pro Electric Pencil Sharpener, 1670;Art                                               ;Office Supplies
OFF-AR-10003602;Newell 332;Art                                               ;Office Supplies
OFF-AR-10003631;Dixon My First Ticonderoga Pencil, #2;Art                                               ;Office Supplies
OFF-AR-10003651;Nontoxic Chalk;Art                                               ;Office Supplies
OFF-AR-10003696;4009 Highlighters;Art                                               ;Office Supplies
OFF-AR-10003723;Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack;Art                                               ;Office Supplies
OFF-AR-10003727;Newell 348;Art                                               ;Office Supplies
OFF-AR-10003732;Newell 347;Art                                               ;Office Supplies
OFF-AR-10003752;4009 Highlighters by Sanford;Art                                               ;Office Supplies
OFF-AR-10003759;Zebra Zazzle Fluorescent Highlighters;Art                                               ;Office Supplies
OFF-AR-10003770;Boston Electric Pencil Sharpener, Model 1818, Charcoal Black;Art                                               ;Office Supplies
OFF-AR-10003772;Quartet Omega Colored Chalk, 12/Pack;Art                                               ;Office Supplies
OFF-AR-10003811;Staples in misc. colors;Art                                               ;Office Supplies
OFF-AR-10003829;Newell 350;Art                                               ;Office Supplies
OFF-AR-10003856;Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop;Art                                               ;Office Supplies
OFF-AR-10003876;Avery Hi-Liter Fluorescent Desk Style Markers;Art                                               ;Office Supplies
OFF-AR-10003896;Berol Giant Pencil Sharpener;Art                                               ;Office Supplies
OFF-AR-10003903;Newell 333;Art                                               ;Office Supplies
OFF-AR-10003958;Deluxe Chalkboard Eraser Cleaner;Art                                               ;Office Supplies
OFF-AR-10003986;Crayola Anti Dust Chalk, 12/Pack;Art                                               ;Office Supplies
OFF-AR-10004010;Newell 340;Art                                               ;Office Supplies
OFF-AR-10004022;Boston 16750 Black Compact Battery Pencil Sharpener;Art                                               ;Office Supplies
OFF-AR-10004027;Newell 327;Art                                               ;Office Supplies
OFF-AR-10004042;Newell 35;Art                                               ;Office Supplies
OFF-AR-10004062;Newell 344;Art                                               ;Office Supplies
OFF-AR-10004078;Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink;Art                                               ;Office Supplies
OFF-AR-10004165;Stride Job 150 Highlighters, Chisel Tip, Assorted Colors;Art                                               ;Office Supplies
OFF-AR-10004260;Sanford 52201 APSCO Electric Pencil Sharpener;Art                                               ;Office Supplies
OFF-AR-10004269;Newell 337;Art                                               ;Office Supplies
OFF-AR-10004272;Avery Hi-Liter Pen Style Six-Color Fluorescent Set;Art                                               ;Office Supplies
OFF-AR-10004344;Hunt Boston Vacuum Mount KS Pencil Sharpener;Art                                               ;Office Supplies
OFF-AR-10004441;Panasonic KP-380BK Classic Electric Pencil Sharpener;Art                                               ;Office Supplies
OFF-AR-10004456;Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box;Art                                               ;Office Supplies
OFF-AR-10004511;BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain;Art                                               ;Office Supplies
OFF-AR-10004582;Staples in misc. colors;Art                                               ;Office Supplies
OFF-AR-10004587;Newell 312;Art                                               ;Office Supplies
OFF-AR-10004602;Binney & Smith inkTank Erasable Pocket Highlighter, Chisel Tip, Yellow;Art                                               ;Office Supplies
OFF-AR-10004648;Boston 1799 Powerhouse Electric Pencil Sharpener;Art                                               ;Office Supplies
OFF-AR-10004685;Newell 31;Art                                               ;Office Supplies
OFF-AR-10004691;Newell 308;Art                                               ;Office Supplies
OFF-AR-10004707;Bulldog Vacuum Base Pencil Sharpener;Art                                               ;Office Supplies
OFF-AR-10004752;BIC Brite Liner Highlighters;Art                                               ;Office Supplies
OFF-AR-10004757;Panasonic KP-4ABK Battery-Operated Pencil Sharpener;Art                                               ;Office Supplies
OFF-AR-10004790;Sanford Colorific Scented Colored Pencils, 12/Pack;Art                                               ;Office Supplies
OFF-AR-10004817;BIC Brite Liner Grip Highlighters;Art                                               ;Office Supplies
OFF-AR-10004930;Boston 1827 Commercial Additional Cutter, Drive Gear & Gear Rack for 1606;Art                                               ;Office Supplies
OFF-AR-10004956;Boston KS Multi-Size Manual Pencil Sharpener;Art                                               ;Office Supplies
OFF-AR-10004974;Boston 19500 Mighty Mite Electric Pencil Sharpener;Art                                               ;Office Supplies
OFF-AR-10004999;Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set;Art                                               ;Office Supplies
OFF-BI-10000014;Boston 1730 StandUp Electric Pencil Sharpener;Art                                               ;Office Supplies
OFF-BI-10000042;Staples in misc. colors;Art                                               ;Office Supplies
OFF-BI-10000050;Blackstonian Pencils;Art                                               ;Office Supplies
OFF-BI-10000069;Crayola Colored Pencils;Art                                               ;Office Supplies
OFF-BI-10000088;Staples in misc. colors;Art                                               ;Office Supplies
OFF-BI-10000136;Colorific Watercolor Pencils;Art                                               ;Office Supplies
OFF-BI-10000138;Turquoise Lead Holder with Pocket Clip;Art                                               ;Office Supplies
OFF-BI-10000145;Newell 33;Art                                               ;Office Supplies
OFF-BI-10000174;Newell 342;Art                                               ;Office Supplies
OFF-BI-10000201;Newell 315;Art                                               ;Office Supplies
OFF-BI-10000216;Heavy-Duty E-Z-D Binders;Binders                                           ;Office Supplies
OFF-BI-10000279;"""Pressboard Data Binder, Crimson, 12"""" X 8 1/2""""""";Binders                                           ;Office Supplies
OFF-BI-10000285;Angle-D Binders with Locking Rings, Label Holders;Binders                                           ;Office Supplies
OFF-BI-10000301;GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb;Binders                                           ;Office Supplies
OFF-BI-10000309;GBC Imprintable Covers;Binders                                           ;Office Supplies
OFF-BI-10000315;Avery Non-Stick Heavy Duty View Round Locking Ring Binders;Binders                                           ;Office Supplies
OFF-BI-10000320;Acco Translucent Poly Ring Binders;Binders                                           ;Office Supplies
OFF-BI-10000343;Zipper Ring Binder Pockets;Binders                                           ;Office Supplies
OFF-BI-10000404;Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear;Binders                                           ;Office Supplies
OFF-BI-10000474;Avery Triangle Shaped Sheet Lifters, Black, 2/Pack;Binders                                           ;Office Supplies
OFF-BI-10000494;"""Mead 1st Gear 2"""" Zipper Binder, Asst. Colors""";Binders                                           ;Office Supplies
OFF-BI-10000545;"""Acco Recycled 2"""" Capacity Laser Printer Hanging Data Binders""";Binders                                           ;Office Supplies
OFF-BI-10000546;XtraLife ClearVue Slant-D Ring Binders by Cardinal;Binders                                           ;Office Supplies
OFF-BI-10000591;GBC Instant Report Kit;Binders                                           ;Office Supplies
OFF-BI-10000605;"""GBC Twin Loop Wire Binding Elements, 9/16"""" Spine, Black""";Binders                                           ;Office Supplies
OFF-BI-10000632;Poly Designer Cover & Back;Binders                                           ;Office Supplies
OFF-BI-10000666;GBC Plastic Binding Combs;Binders                                           ;Office Supplies
OFF-BI-10000756;"""Pressboard Covers with Storage Hooks, 9 1/2"""" x 11"""", Light Blue""";Binders                                           ;Office Supplies
OFF-BI-10000773;Avery Printable Repositionable Plastic Tabs;Binders                                           ;Office Supplies
OFF-BI-10000778;Avery Recycled Flexi-View Covers for Binding Systems;Binders                                           ;Office Supplies
OFF-BI-10000822;Acco Economy Flexible Poly Round Ring Binder;Binders                                           ;Office Supplies
OFF-BI-10000829;GBC Ibimaster 500 Manual ProClick Binding System;Binders                                           ;Office Supplies
OFF-BI-10000831;Avery Durable Binders;Binders                                           ;Office Supplies
OFF-BI-10000848;Avery Binder Labels;Binders                                           ;Office Supplies
OFF-BI-10000948;"""Acco Pressboard Covers with Storage Hooks, 9 1/2"""" x 11"""", Executive Red""";Binders                                           ;Office Supplies
OFF-BI-10000962;Satellite Sectional Post Binders;Binders                                           ;Office Supplies
OFF-BI-10000977;Surelock Post Binders;Binders                                           ;Office Supplies
OFF-BI-10001031;Storex DuraTech Recycled Plastic Frosted Binders;Binders                                           ;Office Supplies
OFF-BI-10001036;Insertable Tab Post Binder Dividers;Binders                                           ;Office Supplies
OFF-BI-10001071;GBC VeloBinder Electric Binding Machine;Binders                                           ;Office Supplies
OFF-BI-10001072;"""Acco PRESSTEX Data Binder with Storage Hooks, Light Blue, 9 1/2"""" X 11""""""";Binders                                           ;Office Supplies
OFF-BI-10001078;Avery Non-Stick Binders;Binders                                           ;Office Supplies
OFF-BI-10001097;Storex Flexible Poly Binders with Double Pockets;Binders                                           ;Office Supplies
OFF-BI-10001098;Angle-D Ring Binders;Binders                                           ;Office Supplies
OFF-BI-10001107;GBC Laser Imprintable Binding System Covers, Desert Sand;Binders                                           ;Office Supplies
OFF-BI-10001116;"""Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"""" X 14"""" 7/8""""""";Binders                                           ;Office Supplies
OFF-BI-10001120;Ibico Plastic Spiral Binding Combs;Binders                                           ;Office Supplies
OFF-BI-10001132;Pressboard Data Binders by Wilson Jones;Binders                                           ;Office Supplies
OFF-BI-10001153;Cardinal EasyOpen D-Ring Binders;Binders                                           ;Office Supplies
OFF-BI-10001191;GBC ProClick Punch Binding System;Binders                                           ;Office Supplies
OFF-BI-10001196;GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack;Binders                                           ;Office Supplies
OFF-BI-10001249;"""Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"""" X 11""""""";Binders                                           ;Office Supplies
OFF-BI-10001267;Avery Hole Reinforcements;Binders                                           ;Office Supplies
OFF-BI-10001294;Acco D-Ring Binder w/DublLock;Binders                                           ;Office Supplies
OFF-BI-10001308;GBC White Gloss Covers, Plain Front;Binders                                           ;Office Supplies
OFF-BI-10001359;"""Wilson Jones 1"""" Hanging DublLock Ring Binders""";Binders                                           ;Office Supplies
OFF-BI-10001460;Ibico EPK-21 Electric Binding System;Binders                                           ;Office Supplies
OFF-BI-10001510;"""Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"""" X 11""""""";Binders                                           ;Office Supplies
OFF-BI-10001524;Ibico Recycled Grain-Textured Covers;Binders                                           ;Office Supplies
OFF-BI-10001525;Canvas Sectional Post Binders;Binders                                           ;Office Supplies
OFF-BI-10001543;Avery Flip-Chart Easel Binder, Black;Binders                                           ;Office Supplies
OFF-BI-10001553;Avery Heavy-Duty EZD View Binder with Locking Rings;Binders                                           ;Office Supplies
OFF-BI-10001575;Universal Recycled Hanging Pressboard Report Binders, Letter Size;Binders                                           ;Office Supplies
OFF-BI-10001597;Fellowes Binding Cases;Binders                                           ;Office Supplies
OFF-BI-10001617;GBC Standard Plastic Binding Systems' Combs;Binders                                           ;Office Supplies
OFF-BI-10001628;GBC DocuBind TL300 Electric Binding System;Binders                                           ;Office Supplies
OFF-BI-10001634;Plastic Binding Combs;Binders                                           ;Office Supplies
OFF-BI-10001636;Deluxe Heavy-Duty Vinyl Round Ring Binder;Binders                                           ;Office Supplies
OFF-BI-10001658;GBC Premium Transparent Covers with Diagonal Lined Pattern;Binders                                           ;Office Supplies
OFF-BI-10001670;"""Acco Pressboard Covers with Storage Hooks, 14 7/8"""" x 11"""", Executive Red""";Binders                                           ;Office Supplies
OFF-BI-10001679;GBC VeloBinder Manual Binding System;Binders                                           ;Office Supplies
OFF-BI-10001718;SpineVue Locking Slant-D Ring Binders by Cardinal;Binders                                           ;Office Supplies
OFF-BI-10001721;GBC Linen Binding Covers;Binders                                           ;Office Supplies
OFF-BI-10001757;"""Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"""", Blue""";Binders                                           ;Office Supplies
OFF-BI-10001758;GBC Wire Binding Combs;Binders                                           ;Office Supplies
OFF-BI-10001759;"""Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"""" Capacity""";Binders                                           ;Office Supplies
OFF-BI-10001765;Wilson Jones Active Use Binders;Binders                                           ;Office Supplies
OFF-BI-10001787;Ibico Plastic and Wire Spiral Binding Combs;Binders                                           ;Office Supplies
OFF-BI-10001890;GBC Standard Therm-A-Bind Covers;Binders                                           ;Office Supplies
OFF-BI-10001900;Vinyl Sectional Post Binders;Binders                                           ;Office Supplies
OFF-BI-10001922;GBC Instant Index System for Binding Systems;Binders                                           ;Office Supplies
OFF-BI-10001982;GBC DocuBind P50 Personal Binding Machine;Binders                                           ;Office Supplies
OFF-BI-10001989;Trimflex Flexible Post Binders;Binders                                           ;Office Supplies
OFF-BI-10002003;Pressboard Hanging Data Binders for Unburst Sheets;Binders                                           ;Office Supplies
OFF-BI-10002012;Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders;Binders                                           ;Office Supplies
OFF-BI-10002026;"""Acco Pressboard Covers with Storage Hooks, 14 7/8"""" x 11"""", Dark Blue""";Binders                                           ;Office Supplies
OFF-BI-10002049;Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges;Binders                                           ;Office Supplies
OFF-BI-10002071;Wilson Jones Four-Pocket Poly Binders;Binders                                           ;Office Supplies
OFF-BI-10002072;Avery Poly Binder Pockets;Binders                                           ;Office Supplies
OFF-BI-10002082;DXL Angle-View Binders with Locking Rings, Black;Binders                                           ;Office Supplies
OFF-BI-10002103;Storex Dura Pro Binders;Binders                                           ;Office Supplies
OFF-BI-10002133;Wilson Jones Custom Binder Spines & Labels;Binders                                           ;Office Supplies
OFF-BI-10002160;Premium Transparent Presentation Covers by GBC;Binders                                           ;Office Supplies
OFF-BI-10002194;Ibico Presentation Index for Binding Systems;Binders                                           ;Office Supplies
OFF-BI-10002215;Wilson Jones Easy Flow II Sheet Lifters;Binders                                           ;Office Supplies
OFF-BI-10002225;Avery Arch Ring Binders;Binders                                           ;Office Supplies
OFF-BI-10002309;Avery Arch Ring Binders;Binders                                           ;Office Supplies
OFF-BI-10002353;UniKeep View Case Binders;Binders                                           ;Office Supplies
OFF-BI-10002393;Fellowes Black Plastic Comb Bindings;Binders                                           ;Office Supplies
OFF-BI-10002412;Cardinal Slant-D Ring Binders;Binders                                           ;Office Supplies
OFF-BI-10002414;GBC Twin Loop Wire Binding Elements;Binders                                           ;Office Supplies
OFF-BI-10002429;Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl;Binders                                           ;Office Supplies
OFF-BI-10002432;"""Wilson Jones Elliptical Ring 3 1/2"""" Capacity Binders, 800 sheets""";Binders                                           ;Office Supplies
OFF-BI-10002437;Acco Hanging Data Binders;Binders                                           ;Office Supplies
OFF-BI-10002498;Cardinal Hold-It CD Pocket;Binders                                           ;Office Supplies
OFF-BI-10002557;"""Wilson Jones Hanging View Binder, White, 1""""""";Binders                                           ;Office Supplies
OFF-BI-10002571;"""Square Ring Data Binders, Rigid 75 Pt. Covers, 11"""" x 14-7/8""""""";Binders                                           ;Office Supplies
OFF-BI-10002609;Avery Heavy-Duty EZD  Binder With Locking Rings;Binders                                           ;Office Supplies
OFF-BI-10002706;GBC VeloBind Cover Sets;Binders                                           ;Office Supplies
